Year,Country,COUNTRY,VARIABLE,Variable,MEASURE,Measure,YEAR,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
2000,Hungary,HUN,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,HUF,Forint,0.0,Units,,,45925000000.0,,
2000,Iceland,ISL,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,ISK,Iceland Krona,0.0,Units,,,9388000000.0,,
2000,India,,,,,,,,,,,,,,,
2000,Italy,ITA,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,6930000000.0,,
2000,Japan,JPN,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,JPY,Yen,0.0,Units,,,7876816000000.0,,
2000,Korea,,,,,,,,,,,,,,,
2000,Lithuania,LTU,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,109000000.0,,
2000,Netherlands,NLD,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,1727000000.0,,
2000,New Zealand,NZL,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,NZD,New Zealand Dollar,0.0,Units,,,425576005.0,,
2000,Norway,NOR,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,NOK,Norwegian Krone,0.0,Units,,,7373000000.0,,
2000,Poland,POL,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,PLN,Zloty,0.0,Units,,,4086000000.0,B,Break
2000,Portugal,PRT,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,961000000.0,,
2000,Slovak Republic,SVK,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,227000000.0,,
2000,Slovenia,SVN,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,372000000.0,,
2000,Sweden,SWE,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,SEK,Swedish Krona,0.0,Units,,,7703000000.0,,
2000,Switzerland,CHE,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,CHF,Swiss Franc,0.0,Units,,,4231000000.0,,
2000,Türkiye,TUR,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,TRY,Turkish Lira,0.0,Units,,,576000000.0,,
2000,United Kingdom,GBR,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,GBP,Pound Sterling,0.0,Units,,,3391000000.0,,
2000,United States,USA,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,USD,US Dollar,0.0,Units,,,54100000000.0,,
2001,Belgium,BEL,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,147000000.0,,
2001,Canada,CAN,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,CAD,Canadian Dollar,0.0,Units,,,6094000000.0,,
2001,Croatia,HRV,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,HRK,Croatian Kuna,0.0,Units,,,2280000000.0,,
2001,Czech Republic,CZE,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,CZK,Czech Koruna,0.0,Units,,,10301000000.0,,
2001,Denmark,DNK,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,DKK,Danish Krone,0.0,Units,,,3704000000.0,,
2001,Finland,FIN,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,508000000.0,,
2001,France,FRA,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,10920413959.837,,
2001,Hungary,HUN,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,HUF,Forint,0.0,Units,,,60800000000.0,,
2001,Iceland,ISL,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,ISK,Iceland Krona,0.0,Units,,,9544000000.0,,
2001,India,,,,,,,,,,,,,,,
2001,Italy,ITA,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,4582000000.0,,
2001,Japan,JPN,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,JPY,Yen,0.0,Units,,,7353941000000.0,,
2001,Korea,KOR,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,KRW,Won,0.0,Units,,,8279900000000.0,,
2001,Lithuania,LTU,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,70000000.0,,
2001,Netherlands,NLD,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,1847000000.0,,
2001,New Zealand,NZL,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,NZD,New Zealand Dollar,0.0,Units,,,366539687.0,,
2001,Norway,NOR,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,NOK,Norwegian Krone,0.0,Units,,,8201000000.0,,
2001,Poland,POL,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,PLN,Zloty,0.0,Units,,,4017000000.0,,
2001,Portugal,PRT,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,1685000000.0,,
2001,Slovak Republic,SVK,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,201000000.0,,
2001,Slovenia,SVN,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,284000000.0,,
2001,Sweden,SWE,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,SEK,Swedish Krona,0.0,Units,,,9324000000.0,,
2001,Switzerland,CHE,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,CHF,Swiss Franc,0.0,Units,,,4177000000.0,,
2001,Türkiye,TUR,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,TRY,Turkish Lira,0.0,Units,,,1542000000.0,,
2001,United Kingdom,GBR,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,GBP,Pound Sterling,0.0,Units,,,3688000000.0,,
2001,United States,USA,I-INV-RD,Road infrastructure investment,NAT,National currency,2001.0,USD,US Dollar,0.0,Units,,,58600000000.0,,
2002,Belgium,BEL,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,EUR,Euro,0.0,Units,,,172000000.0,,
2002,Canada,CAN,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,CAD,Canadian Dollar,0.0,Units,,,5907000000.0,,
2002,Croatia,HRV,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,HRK,Croatian Kuna,0.0,Units,,,4564000000.0,,
2002,Czech Republic,CZE,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,CZK,Czech Koruna,0.0,Units,,,15971000000.0,,
2002,Denmark,DNK,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,DKK,Danish Krone,0.0,Units,,,2966000000.0,,
2002,Finland,FIN,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,EUR,Euro,0.0,Units,,,520000000.0,,
2002,France,FRA,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,EUR,Euro,0.0,Units,,,10345177749.354,,
2002,Hungary,HUN,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,HUF,Forint,0.0,Units,,,68900000000.0,,
2002,Iceland,ISL,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,ISK,Iceland Krona,0.0,Units,,,10618000000.0,,
2002,India,,,,,,,,,,,,,,,
2002,Italy,ITA,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,EUR,Euro,0.0,Units,,,5071000000.0,B,Break
2002,Japan,JPN,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,JPY,Yen,0.0,Units,,,7080264000000.0,,
2002,Korea,KOR,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,KRW,Won,0.0,Units,,,8097600000000.0,,
2002,Lithuania,LTU,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,EUR,Euro,0.0,Units,,,112000000.0,,
2002,Netherlands,NLD,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,EUR,Euro,0.0,Units,,,2279000000.0,,
2002,New Zealand,NZL,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,NZD,New Zealand Dollar,0.0,Units,,,368173787.0,,
2002,Norway,NOR,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,NOK,Norwegian Krone,0.0,Units,,,8741000000.0,,
2002,Poland,POL,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,PLN,Zloty,0.0,Units,,,3992000000.0,,
2002,Portugal,PRT,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,EUR,Euro,0.0,Units,,,1620000000.0,,
2002,Slovak Republic,SVK,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,EUR,Euro,0.0,Units,,,260000000.0,,
2002,Slovenia,SVN,I-INV-RD,Road infrastructure investment,NAT,National currency,2002.0,EUR,Euro,0.0,Units,,,337000000.0,,
