"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2000","2000","HRK","Croatian Kuna","0","Units",,,2418000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2001","2001","HRK","Croatian Kuna","0","Units",,,985000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2002","2002","HRK","Croatian Kuna","0","Units",,,1268000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2003","2003","HRK","Croatian Kuna","0","Units",,,1579000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2004","2004","HRK","Croatian Kuna","0","Units",,,1828000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2005","2005","HRK","Croatian Kuna","0","Units",,,1793000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2006","2006","HRK","Croatian Kuna","0","Units",,,1132000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2007","2007","HRK","Croatian Kuna","0","Units",,,1160000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2008","2008","HRK","Croatian Kuna","0","Units",,,1216000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2009","2009","HRK","Croatian Kuna","0","Units",,,1056000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2010","2010","HRK","Croatian Kuna","0","Units",,,1421000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2011","2011","HRK","Croatian Kuna","0","Units",,,1578000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2012","2012","HRK","Croatian Kuna","0","Units",,,1403000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2013","2013","HRK","Croatian Kuna","0","Units",,,1584000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2014","2014","HRK","Croatian Kuna","0","Units",,,1965000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2015","2015","HRK","Croatian Kuna","0","Units",,,1866000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2016","2016","HRK","Croatian Kuna","0","Units",,,1766000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2017","2017","HRK","Croatian Kuna","0","Units",,,1287000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2018","2018","HRK","Croatian Kuna","0","Units",,,1434000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2019","2019","HRK","Croatian Kuna","0","Units",,,1905000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2020","2020","HRK","Croatian Kuna","0","Units",,,1800000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2021","2021","HRK","Croatian Kuna","0","Units",,,1836000000,,
"CZE","Czech Republic","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1995","1995","CZK","Czech Koruna","0","Units",,,4625000000,,
"CZE","Czech Republic","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1996","1996","CZK","Czech Koruna","0","Units",,,6491000000,,
"CZE","Czech Republic","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1997","1997","CZK","Czech Koruna","0","Units",,,6399000000,,
"CZE","Czech Republic","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1998","1998","CZK","Czech Koruna","0","Units",,,6256000000,,
"CZE","Czech Republic","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1999","1999","CZK","Czech Koruna","0","Units",,,6855000000,,
"CZE","Czech Republic","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2000","2000","CZK","Czech Koruna","0","Units",,,7209000000,,
"CZE","Czech Republic","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2001","2001","CZK","Czech Koruna","0","Units",,,9251000000,,
"CZE","Czech Republic","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2002","2002","CZK","Czech Koruna","0","Units",,,8632000000,,
"CZE","Czech Republic","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2003","2003","CZK","Czech Koruna","0","Units",,,8414000000,,
